id,name,link,regular_price,promo_price,brand
96671,Когтерез ножницы 10см,https://4lapy.ru/catalog/sobaki/tovary-dlya-gruminga/kogterezy-gruming/kogterez-nozhnicy-10sm.html,349,349,Rurri
36721,Электрическая машинка для стрижки животных 1400 с 4 насадками,https://4lapy.ru/catalog/sobaki/tovary-dlya-gruminga/mashinki-dlya-strizhki-gruming/Mashinka_dlya_strigki_Mozer_4_nasadki_elektricheskaya_9_Vt_1000192.html,4755,4755,Moser
96677,Рукавица для груминга,https://4lapy.ru/catalog/sobaki/tovary-dlya-gruminga/pukhoderki/rukavica-dlya-gruminga.html,649,649,Rurri
96663,"Расчёска-триммер, малый 6х15,5см",https://4lapy.ru/catalog/sobaki/tovary-dlya-gruminga/rascheska-trimmer-grooming/furminator-malyy-6-15-5sm.html,963,963,Rurri
96657,Расческа двухсторонняя 21см,https://4lapy.ru/catalog/sobaki/tovary-dlya-gruminga/rascheski-gruming/rascheska-dvuhstoronnyaya-21sm.html,327,327,Rurri
148121,Eco Расческа-щетка для кошек и собак двусторонняя бамбук M 22 см,https://4lapy.ru/catalog/koshki/tovary-dlya-gruminga-koshki/rascheski/eco-rascheska-shchetka-dvustoronnyaya-bambuk-m-22sm.html,649,649,Rurri
148107,"Расческа для короткой шерсти, от блох для кошек и собак 9,5 см",https://4lapy.ru/catalog/koshki/tovary-dlya-gruminga-koshki/rascheski/rascheska-dlya-korotkoy-shersti-ot-bloh.html,143,143,Rurri
148135,"Eco Пуходерка для кошек и собак L, 12,2x15,5 см",https://4lapy.ru/catalog/koshki/tovary-dlya-gruminga-koshki/pukhoderki-i-shchetki/eco-puhoderka-l-12-2-15-5sm.html,627,627,Rurri
91617,Гриндер для когтей ZIVER-219,https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/tovary-dlya-gruminga-zaveli-shchenka/grinder-dlya-kogtey-ziver-219.html,1649,1649,Ziver
96665,Когтерез секатор малый,https://4lapy.ru/catalog/sobaki/tovary-dlya-gruminga/kogterezy-gruming/kogterez-sekator-malyy.html,447,447,Rurri
